"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
Congenital heart disease and severe heart failure without intellectual disability due to severe congenital heart anomalies excluding single ventricle heart defects,Congenital heart disease and severe heart failure,(combined DW),--
"Congenital heart disease, profound intellectual disability and moderate heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, profound intellectual disability, and moderate heart failure",(combined DW),--
"Congenital heart disease, severe intellectual disability and moderate heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, severe intellectual disability, and moderate heart failure",(combined DW),--
"Congenital heart disease, mild intellectual disability and moderate heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, mild intellectual disability, and moderate heart failure",(combined DW),--
Congenital heart disease and profound intellectual disability without heart failure due to single ventricle and single ventricle pathway heart defects,"Congenital heart disease and Intellectual disability / mental retardation, profound",(combined DW),--
"Congenital heart disease, borderline intellectual disability and moderate heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, borderline intellectual functioning, and moderate heart failure",(combined DW),--
Congenital heart disease and moderate heart failure without intellectual disability due to severe congenital heart anomalies excluding single ventricle heart defects,Congenital heart disease and moderate heart failure,(combined DW),--
"Congenital heart disease, profound intellectual disability and mild heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, profound intellectual disability, and mild heart failure",(combined DW),--
"Congenital heart disease, severe intellectual disability and mild heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, severe intellectual disability, and mild heart failure",(combined DW),--
"Congenital heart disease, moderate intellectual disability and mild heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, moderate intellectual disability, and mild heart failure",(combined DW),--
"Congenital heart disease, mild intellectual disability and mild heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, mild intellectual disability, and mild heart failure",(combined DW),--
"Congenital heart disease, borderline intellectual disability and mild heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease, borderline intellectual functioning, and mild heart failure",(combined DW),--
Congenital heart disease and mild heart failure without intellectual disability due to severe congenital heart anomalies excluding single ventricle heart defects,Congenital heart disease and mild heart failure,(combined DW),--
Congenital heart disease and profound intellectual disability without heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,"Congenital heart disease and Intellectual disability / mental retardation, profound",(combined DW),--
Congenital heart disease and severe intellectual disability  without heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,"Congenital heart disease and Intellectual disability / mental retardation, severe",(combined DW),--
Congenital heart disease and mild intellectual disability  without heart failure due to severe congenital heart anomalies excluding single ventricle heart defects,"Congenital heart disease and Intellectual disability / mental retardation, mild",(combined DW),--
Congenital heart disease and moderate heart failure without intellectual disability due to ventricular septal defect and atrial septal defect,Congenital heart disease and moderate heart failure,(combined DW),--
"Congenital heart disease, borderline intellectual disability and moderate heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease, borderline intellectual functioning, and moderate heart failure",(combined DW),--
"Congenital heart disease, mild intellectual disability and moderate heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, mild intellectual disability, and moderate heart failure",(combined DW),--
"Congenital heart disease, mild intellectual disability and treated heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease and Intellectual disability / mental retardation, mild and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, moderate intellectual disability and treated heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease and Intellectual disability / mental retardation, moderate and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, moderate intellectual disability and treated heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease and Intellectual disability / mental retardation, moderate and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, moderate intellectual disability and treated heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease and Intellectual disability / mental retardation, moderate and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, moderate intellectual disability and treated heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease and Intellectual disability / mental retardation, moderate and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, profound intellectual disability and treated heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease and Intellectual disability / mental retardation, severe and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, mild intellectual disability and treated heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease and Intellectual disability / mental retardation, mild and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, profound intellectual disability and treated heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease and Intellectual disability / mental retardation, severe and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, profound intellectual disability and treated heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease and Intellectual disability / mental retardation, severe and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, severe intellectual disability and treated heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease and Intellectual disability / mental retardation, profound and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, severe intellectual disability and treated heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease and Intellectual disability / mental retardation, profound and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, severe intellectual disability and treated heart failure due to single ventricle and single ventricle pathway heart defects","Congenital heart disease and Intellectual disability / mental retardation, profound and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, severe intellectual disability and treated heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease and Intellectual disability / mental retardation, profound and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease and moderate heart failure without intellectual disability due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus",Congenital heart disease and moderate heart failure,(combined DW),--
"Congenital heart disease, profound intellectual disability and treated heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease and Intellectual disability / mental retardation, severe and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, mild intellectual disability and treated heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus","Congenital heart disease and Intellectual disability / mental retardation, mild and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, mild intellectual disability and treated heart failure due to severe congenital heart anomalies excluding single ventricle heart defects","Congenital heart disease and Intellectual disability / mental retardation, mild and generic uncomplicated disease: worry and daily medication",(combined DW),--
"Congenital heart disease, borderline intellectual disability and treated heart failure due to single ventricle and single ventricle pathway heart defects",Congenital heart disease and borderline intellectual functioning and generic uncomplicated disease: worry and daily medication,(combined DW),--
"Congenital heart disease, moderate intellectual disability and moderate heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, moderate intellectual disability, and moderate heart failure",(combined DW),--
"Congenital heart disease, severe intellectual disability and moderate heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, severe intellectual disability, and moderate heart failure",(combined DW),--
"Congenital heart disease, profound intellectual disability and moderate heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, profound intellectual disability, and moderate heart failure",(combined DW),--
Congenital heart disease and severe heart without intellectual disability due to ventricular septal defect and atrial septal defect,Congenital heart disease and severe heart failure,(combined DW),--
"Congenital heart disease, borderline intellectual disability and severe heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, borderline intellectual functioning, and severe heart failure",(combined DW),--
"Congenital heart disease, mild intellectual disability and severe heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, mild intellectual disability, and severe heart failure",(combined DW),--
"Congenital heart disease, borderline intellectual disability and treated heart failure due to ventricular septal defect and atrial septal defect",Congenital heart disease and borderline intellectual functioning and generic uncomplicated disease: worry and daily medication,(combined DW),--
"Congenital heart disease, severe intellectual disability and severe heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, severe intellectual disability, and severe heart failure",(combined DW),--
"Congenital heart disease, moderate intellectual disability and severe heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, moderate intellectual disability, and severe heart failure",(combined DW),--
"Congenital heart disease and treated heart failure without intellectual disability due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus",Congenital heart disease and generic uncomplicated disease: worry and daily medication,(combined DW),--
Congenital heart disease and treated heart failure without intellectual disability due to severe congenital heart anomalies excluding single ventricle heart defects,Congenital heart disease and generic uncomplicated disease: worry and daily medication,(combined DW),--
Congenital heart disease and treated heart failure without intellectual disability due to single ventricle and single ventricle pathway heart defects,Congenital heart disease and generic uncomplicated disease: worry and daily medication,(combined DW),--
Congenital heart disease and treated heart failure without intellectual disability due to ventricular septal defect and atrial septal defect,Congenital heart disease and generic uncomplicated disease: worry and daily medication,(combined DW),--
"Congenital heart disease, borderline intellectual disability and treated heart failure due to critical malformations of great vessels, congenital valvular heart disease and patent ductus arteriosus",Congenital heart disease and borderline intellectual functioning and generic uncomplicated disease: worry and daily medication,(combined DW),--
"Congenital heart disease, borderline intellectual disability and treated heart failure due to severe congenital heart anomalies excluding single ventricle heart defects",Congenital heart disease and borderline intellectual functioning and generic uncomplicated disease: worry and daily medication,(combined DW),--
"Congenital heart disease, profound intellectual disability and severe heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, profound intellectual disability, and severe heart failure",(combined DW),--
"Congenital heart disease, borderline intellectual disability and moderate heart failure due to ventricular septal defect and atrial septal defect","Congenital heart disease, borderline intellectual functioning, and moderate heart failure",(combined DW),--
Disfigurement level 1 due to orofacial clefts,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.","0.011
(0.005-0.021)"
Disfigurement level 2 and speech problems due to orofacial clefts,Speech problems with disfigurement level 2,(combined DW),--
Disfigurement level 2 due to orofacial clefts,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.","0.067
(0.044-0.096)"
Asymptomatic orofacial clefts,--,--,--
Asymptomatic Down syndrome,--,--,--
"Profound intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, profound intellectual disability",(combined DW),--
"Borderline intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, borderline intellectual disability",(combined DW),--
"Mild intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, mild intellectual disability",(combined DW),--
"Moderate intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, moderate intellectual disability",(combined DW),--
"Severe intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, severe intellectual disability",(combined DW),--
"Profound intellectual disability, severe dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, severe dementia, profound intellectual disability",(combined DW),--
Profound intellectual disability and mild dementia due to Down syndrome,"Mild dementia, profound intellectual disability",(combined DW),--
Severe intellectual disability and mild dementia due to Down syndrome,"Mild dementia, severe intellectual disability",(combined DW),--
Moderate intellectual disability and mild dementia due to Down syndrome,"Mild dementia, moderate intellectual disability",(combined DW),--
Mild intellectual disability and mild dementia due to Down syndrome,"Mild dementia, mild intellectual disability",(combined DW),--
Borderline intellectual disability and mild dementia due to Down syndrome,"Mild dementia, borderline intellectual disability",(combined DW),--
Profound intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, profound intellectual disability",(combined DW),--
Severe intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, severe intellectual disability",(combined DW),--
Moderate intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, moderate intellectual disability",(combined DW),--
Mild intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, mild intellectual disability",(combined DW),--
Borderline intellectual disability and moderate dementia due to Down syndrome,"Moderate dementia, borderline intellectual disability",(combined DW),--
Profound intellectual disability and severe dementia due to Down syndrome,"Severe dementia, profound intellectual disability",(combined DW),--
Severe intellectual disability and severe dementia due to Down syndrome,"Severe dementia, severe intellectual disability",(combined DW),--
Moderate intellectual disability and severe dementia due to Down syndrome,"Severe dementia, moderate intellectual disability",(combined DW),--
Mild intellectual disability and severe dementia due to Down syndrome,"Severe dementia, mild intellectual disability",(combined DW),--
Borderline intellectual disability and severe dementia due to Down syndrome,"Severe dementia, borderline intellectual disability",(combined DW),--
Isolated congenital heart disease due to Down syndrome,Congenital heart disease,(custom DW from MEPS),--
"Moderate intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, moderate intellectual disability",(combined DW),--
"Severe intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, severe intellectual disability",(combined DW),--
"Borderline intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, borderline intellectual disability",(combined DW),--
Borderline intellectual disability due to Down syndrome,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Mild intellectual disability due to Down syndrome,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Moderate intellectual disability due to Down syndrome,"Intellectual disability / mental retardation, moderate","has low intelligence, and is slow in learning to speak and to do even simple tasks. As an adult, the person requires a lot of support to live independently and raise children. The person can only work at the simplest supervised jobs.","0.100
(0.066-0.142)"
Severe intellectual disability due to Down syndrome,"Intellectual disability / mental retardation, severe","has very low intelligence and cannot speak more than a few words, needs constant supervision and help with most daily activities, and can do only the simplest tasks.","0.160
(0.107-0.226)"
Borderline intellectual disability with congenital heart disease due to Down syndrome,Borderline intellectual disability with congenital heart disease,(combined DW),--
Mild intellectual disability with congenital heart disease due to Down syndrome,Mild intellectual disability with congenital heart disease,(combined DW),--
Moderate intellectual disability with congenital heart disease due to Down syndrome,Moderate intellectual disability with congenital heart disease,(combined DW),--
"Mild intellectual disability, moderate dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, moderate dementia, mild intellectual disability",(combined DW),--
Profound intellectual disability with congenital heart disease due to Down syndrome,Profound intellectual disability with congenital heart disease,(combined DW),--
Mild dementia due to Down syndrome,"Dementia, mild","has some trouble remembering recent events, and finds it hard to concentrate and make decisions and plans.","0.069
(0.046-0.099)"
Severe intellectual disability with congenital heart disease due to Down syndrome,Severe intellectual disability with congenital heart disease,(combined DW),--
Severe dementia due to Down syndrome,"Dementia, severe",has complete memory loss; no longer recognizes close family members; and requires help with all daily activities.,"0.449
(0.304-0.595)"
Congenital heart disease and mild dementia due to Down syndrome,Congenital heart disease and mild dementia,(combined DW),--
Congenital heart disease and moderate dementia due to Down syndrome,Congenital heart disease and moderate dementia,(combined DW),--
Congenital heart disease and severe dementia due to Down syndrome,Congenital heart disease and severe dementia,(combined DW),--
"Borderline intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, borderline intellectual disability",(combined DW),--
"Mild intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, mild intellectual disability",(combined DW),--
"Moderate intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, moderate intellectual disability",(combined DW),--
"Severe intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, severe intellectual disability",(combined DW),--
"Profound intellectual disability, mild dementia, and congenital heart disease due to Down syndrome","Congenital heart disease, mild dementia, profound intellectual disability",(combined DW),--
Moderate dementia due to Down syndrome,"Dementia, moderate","has memory problems and confusion, feels disoriented, at times hears voices that are not real, and needs help with some daily activities.","0.377
(0.252-0.508)"
Profound intellectual disability due to Down syndrome,"Intellectual disability / mental retardation, profound","has very low intelligence, has almost no language, and does not understand even the most basic requests or instructions. The person requires constant supervision and help for all activities.","0.200
(0.133-0.283)"
Congenital heart disease due to Turner syndrome,Congenital heart disease,(custom DW from MEPS),--
Primary infertility due to Turner syndrome,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.","0.008
(0.003-0.015)"
Congenital heart disease with infertility due to Turner syndrome,Congenital heart disease with primary infertility,(combined DW),--
Asymptomatic Turner syndrome,--,--,--
Primary infertility due to Klinefelter syndrome,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.","0.008
(0.003-0.015)"
Asymptomatic Klinefelter syndrome,--,--,--
Mild intellectual disability with infertility due to Klinefelter syndrome,Mild intellectual disability with primary infertility,(combined DW),--
Mild intellectual disability due to Klinefelter syndrome,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Borderline intellectual disability due to Klinefelter syndrome,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Borderline intellectual disability with infertility due to Klinefelter syndrome,Borderline intellectual disability with primary infertility,(combined DW),--
"Mild intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, mild intellectual disability",(combined DW),--
Mild intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, mild intellectual disability",(combined DW),--
Moderate intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, moderate intellectual disability",(combined DW),--
Severe intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, severe intellectual disability",(combined DW),--
Profound intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, profound intellectual disability",(combined DW),--
"Moderate intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, moderate intellectual disability",(combined DW),--
"Severe intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, severe intellectual disability",(combined DW),--
Borderline intellectual disability and mild dementia due to other chromosomal abnormalities,"Mild dementia, borderline intellectual disability",(combined DW),--
"Borderline intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, borderline intellectual disability",(combined DW),--
"Profound intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, profound intellectual disability",(combined DW),--
"Profound intellectual disability, severe dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, severe dementia, profound intellectual disability",(combined DW),--
Profound intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, profound intellectual disability",(combined DW),--
Mild intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, mild intellectual disability",(combined DW),--
Moderate intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, moderate intellectual disability",(combined DW),--
"Severe intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, severe intellectual disability",(combined DW),--
Borderline intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, borderline intellectual disability",(combined DW),--
Profound intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, profound intellectual disability",(combined DW),--
Severe intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, severe intellectual disability",(combined DW),--
Moderate intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, moderate intellectual disability",(combined DW),--
Mild intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, mild intellectual disability",(combined DW),--
Borderline intellectual disability and severe dementia due to other chromosomal abnormalities,"Severe dementia, borderline intellectual disability",(combined DW),--
Severe motor and cognitive impairment due to Edward Syndrome or Patau Syndrome,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.","0.542
(0.374-0.702)"
Severe motor and cognitive impairment with congenital heart disease due to Edward Syndrome or Patau Syndrome,Severe motor plus cognitive impairments and congenital heart disease,(combined DW),--
Severe intellectual disability and moderate dementia due to other chromosomal abnormalities,"Moderate dementia, severe intellectual disability",(combined DW),--
"Moderate intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, moderate intellectual disability",(combined DW),--
"Mild intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, mild intellectual disability",(combined DW),--
"Borderline intellectual disability, moderate dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, moderate dementia, borderline intellectual disability",(combined DW),--
Asymptomatic other chromosomal abnormalities,--,--,--
Isolated congenital heart disease due to other chromosomal abnormalities,Congenital heart disease,(custom DW from MEPS),--
Borderline intellectual disability due to other chromosomal abnormalities,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Mild intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Moderate intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, moderate","has low intelligence, and is slow in learning to speak and to do even simple tasks. As an adult, the person requires a lot of support to live independently and raise children. The person can only work at the simplest supervised jobs.","0.100
(0.066-0.142)"
Severe intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, severe","has very low intelligence and cannot speak more than a few words, needs constant supervision and help with most daily activities, and can do only the simplest tasks.","0.160
(0.107-0.226)"
Profound intellectual disability due to other chromosomal abnormalities,"Intellectual disability / mental retardation, profound","has very low intelligence, has almost no language, and does not understand even the most basic requests or instructions. The person requires constant supervision and help for all activities.","0.200
(0.133-0.283)"
Borderline intellectual disability with congenital heart disease due to other chromosomal abnormalities,Borderline intellectual disability with congenital heart disease,(combined DW),--
Mild intellectual disability with congenital heart disease due to other chromosomal abnormalities,Mild intellectual disability with congenital heart disease,(combined DW),--
Moderate intellectual disability with congenital heart disease due to other chromosomal abnormalities,Moderate intellectual disability with congenital heart disease,(combined DW),--
Profound intellectual disability with congenital heart disease due to other chromosomal abnormalities,Profound intellectual disability with congenital heart disease,(combined DW),--
Severe intellectual disability with congenital heart disease due to other chromosomal abnormalities,Severe intellectual disability with congenital heart disease,(combined DW),--
Moderate dementia due to other chromosomal abnormalities,"Dementia, moderate","has memory problems and confusion, feels disoriented, at times hears voices that are not real, and needs help with some daily activities.","0.377
(0.252-0.508)"
Severe dementia due to other chromosomal abnormalities,"Dementia, severe",has complete memory loss; no longer recognizes close family members; and requires help with all daily activities.,"0.449
(0.304-0.595)"
Congenital heart disease and mild dementia due to other chromosomal abnormalities,Congenital heart disease and mild dementia,(combined DW),--
Congenital heart disease and moderate dementia due to other chromosomal abnormalities,Congenital heart disease and moderate dementia,(combined DW),--
Congenital heart disease and severe dementia due to other chromosomal abnormalities,Congenital heart disease and severe dementia,(combined DW),--
"Borderline intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, borderline intellectual disability",(combined DW),--
"Mild intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, mild intellectual disability",(combined DW),--
"Moderate intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, moderate intellectual disability",(combined DW),--
"Severe intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, severe intellectual disability",(combined DW),--
"Profound intellectual disability, mild dementia, and congenital heart disease due to other chromosomal abnormalities","Congenital heart disease, mild dementia, profound intellectual disability",(combined DW),--
Mild dementia due to other chromosomal abnormalities,"Dementia, mild","has some trouble remembering recent events, and finds it hard to concentrate and make decisions and plans.","0.069
(0.046-0.099)"
Disfigurement level 2 with pain and moderate motor impairment due to congenital limb deficiency,Level 2 disfigurement with itch/pain and moderate motor impairment,(combined DW),--
Disfigurement level 2 and moderate motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with moderate motor impairment,(combined DW),--
Disfigurement level 2 with pain due to other congenital musculoskeletal anomalies,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.","0.188
(0.125-0.267)"
Disfigurement level 2 due to other congenital musculoskeletal anomalies,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.","0.067
(0.044-0.096)"
Disfigurement level 2 with pain and mild motor impairment due to congenital limb deficiency,Level 2 disfigurement with itch/pain and mild motor impairment,(combined DW),--
Disfigurement level 2 and mild motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with mild motor impairment,(combined DW),--
Disfigurement level 2 and mild motor impairment due to congenital limb deficiency,Level 2 disfigurement with mild motor impairment,(combined DW),--
Disfigurement level 2 with pain due to congenital limb deficiency,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.","0.188
(0.125-0.267)"
Disfigurement level 2 due to congenital limb deficiency,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.","0.067
(0.044-0.096)"
Disfigurement level 1 due to polydactyly and syndactyly,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.","0.011
(0.005-0.021)"
Disfigurement level 2 with pain and moderate motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with itch/pain and moderate motor impairment,(combined DW),--
Disfigurement level 2 and moderate motor impairment due to congenital limb deficiency,Level 2 disfigurement with moderate motor impairment,(combined DW),--
Disfigurement level 2 with pain and mild motor impairment due to other congenital musculoskeletal anomalies,Level 2 disfigurement with itch/pain and mild motor impairment,(combined DW),--
"Atypical genitalia, incontinence, impotence, and recurrent urinary tract infections or other abdominal issues and impotence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, urinary incontinence, impotence, and level 1 disfigurement",(combined DW),--
"Incontinence, impotence, and recurrent urinary tract infections or other abdominal issues and impotence due to congenital anomalies of the urinary tract","Mild abdominopelvic problem, urinary incontinence, and impotence",(combined DW),--
Primary infertility due to congenital genital anomalies,"Infertility, primary","wants to have a child and has a fertile partner, but the couple cannot conceive.","0.008
(0.003-0.015)"
Atypical genitalia and primary infertility due to congenital genital anomalies,Disfigurement level 1 and primary infertility,(combined DW),--
Atypical genitalia and impotence due to congenital genital anomalies,Level 1 disfigurement and impotence,(combined DW),--
Primary infertility and recurrent urinary tract infections or other abdominal issues due to congenital genital anomalies,Mild abdominal pain and primary infertility,(combined DW),--
Impotence and recurrent urinary tract infections or other abdominal issues due to congenital genital anomalies,Mild abdominopelvic problem and impotence,(combined DW),--
Infertility and impotence due to congenital genital anomalies,Primary infertility and impotence,(combined DW),--
"Atypical genitalia, recurrent urinary tract infections or other abdominal issues and infertility due to congenital genital anomalies","Mild abdominopelvic problem, level 1 disfigurement and primary infertility",(combined DW),--
"Atypical genitalia, recurrent urinary tract infections or other abdominal issues and impotence due to congenital genital anomalies","Mild abdominopelvic problem, level 1 disfigurement and impotence",(combined DW),--
"Atypical genitalia, infertility and impotence due to congenital genital anomalies","Mild abdominopelvic problem, level 1 disfigurement and primary infertility",(combined DW),--
"Infertility, impotence, and recurrent urinary tract infections or other abdominal issues and impotence due to congenital genital anomalies","Mild abdominopelvic problem,  primary infertility, and impotence",(combined DW),--
